id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
836,The Sisters Brothers,0.0,2.0,1372.0,3143056,1141,115575,2018/10/19,6.9,121,38000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
837,Assassination Nation,129.0,20.0,1301.0,2005142,1403,1050021,2018/09/21,6.1,110,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
838,Little Women,1.0,26.0,2882.0,1379497,643,705063,2018/09/28,6.9,121,42000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
839,Avengers: Endgame,1.0,11.0,1459.0,858373000,4662,357115007,2019/04/26,7.3,181,400000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
840,The Lion King,0.0,2.0,1455.0,543638043,4802,191770759,2019/07/19,6.4,118,260000000,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
841,Frozen II,2.0,28.0,1433.0,477373578,4440,130263358,2019/11/22,5.8,103,150000000,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
842,Toy Story 4,8.0,14.0,1444.0,434038008,4575,120908065,2019/06/21,7.1,100,200000000,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
843,Captain Marvel,0.0,76.0,1385.0,426829839,4310,153433423,2019/03/8,5.9,125,175000000,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
844,Spider-Man: Far from Home,0.0,10.0,1444.0,390532085,4634,92579212,2019/07/2,6.2,129,160000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
845,Aladdin,5.0,33.0,1444.0,355559216,4476,91500929,2019/05/24,6.2,128,182000000,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
846,Joker,11.0,47.0,1392.0,335451311,4374,96202337,2019/10/4,8.0,121,55000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
847,Jumanji: The Next Level,0.0,2.0,1464.0,320314960,4227,59251543,2019/12/13,5.2,123,125000000,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
848,Us,2.0,13.0,1464.0,175084580,3743,71117625,2019/03/22,6.5,60,20000000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
849,Knives Out,1.0,46.0,1415.0,165363234,3461,26769548,2019/11/27,7.2,130,40000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
850,How to Train Your Dragon: The Hidden World,0.0,0.0,1481.0,160799505,4286,55022245,2019/02/22,6.6,104,129000000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,The Secret Life of Pets 2,0.0,3.0,1453.0,158874395,4564,46652680,2019/06/7,5.6,98,80000000,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,Shazam!,0.0,34.0,1425.0,140371656,4306,53505326,2019/04/5,5.9,132,85000000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
853,Dumbo,8.0,20.0,1452.0,114766307,4259,45990748,2019/03/29,5.7,111,170000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
854,Maleficent: Mistress of Evil,30.0,3.0,1431.0,113929605,3820,36948713,2019/10/18,5.4,118,185000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
